Time,Campaign ID,Age group,Channel Name,Spending,Number of Views,Number of Leads
Apr-15,Apr2015_1,18-24,Influencer,0.04,10,0
Apr-15,Apr2015_1,18-24,Sponsored search ads,0.04,15,0
Apr-15,Apr2015_1,18-24,TikTok ads,0.05,31,0
Apr-15,Apr2015_1,18-24,Instagram Ads,0.04,19,0
Apr-15,Apr2015_1,18-24,Email,0.02,4,0
Apr-15,Apr2015_1,18-24,LinkedIn,0.04,15,26
Apr-15,Apr2015_1,18-24,Radio ads,0.03,17,26
Apr-15,Apr2015_1,18-24,TV ads,0.03,13,26
Apr-15,Apr2015_1,18-24,Google banner ads,0.04,14,0
Apr-15,Apr2015_1,18-24,Newspaper ads,0.03,8,0
Apr-15,Apr2015_1,18-24,Facebook ads,0.05,29,26
Apr-15,Apr2015_1,35-44,Influencer,0.04,21,0
Apr-15,Apr2015_1,35-44,Sponsored search ads,0.03,19,0
Apr-15,Apr2015_1,35-44,TikTok ads,0.04,26,53
Apr-15,Apr2015_1,35-44,Instagram Ads,0.04,9,0
Apr-15,Apr2015_1,35-44,Email,0.02,11,0
Apr-15,Apr2015_1,35-44,LinkedIn,0.03,7,0
Apr-15,Apr2015_1,35-44,Radio ads,0.03,10,0
Apr-15,Apr2015_1,35-44,TV ads,0.03,6,0
Apr-15,Apr2015_1,35-44,Google banner ads,0.04,7,0
Apr-15,Apr2015_1,35-44,Newspaper ads,0.02,12,0
Apr-15,Apr2015_1,35-44,Facebook ads,0.04,16,26
Apr-15,Apr2015_1,65 and above,Influencer,0.03,16,0
Apr-15,Apr2015_1,65 and above,Sponsored search ads,0.02,13,0
Apr-15,Apr2015_1,65 and above,TikTok ads,0.03,13,0
Apr-15,Apr2015_1,65 and above,Instagram Ads,0.03,11,0
Apr-15,Apr2015_1,65 and above,Email,0.01,8,0
Apr-15,Apr2015_1,65 and above,LinkedIn,0.02,13,0
Apr-15,Apr2015_1,65 and above,Radio ads,0.02,6,0
Apr-15,Apr2015_1,65 and above,TV ads,0.02,5,0
Apr-15,Apr2015_1,65 and above,Google banner ads,0.02,10,0
Apr-15,Apr2015_1,65 and above,Newspaper ads,0.02,7,0
Apr-15,Apr2015_1,65 and above,Facebook ads,0.03,17,0
Apr-15,Apr2015_1,25-34,Influencer,0.04,22,0
Apr-15,Apr2015_1,25-34,Sponsored search ads,0.04,14,0
Apr-15,Apr2015_1,25-34,TikTok ads,0.05,13,0
Apr-15,Apr2015_1,25-34,Instagram Ads,0.04,16,26
Apr-15,Apr2015_1,25-34,Email,0.02,12,0
Apr-15,Apr2015_1,25-34,LinkedIn,0.04,16,0
Apr-15,Apr2015_1,25-34,Radio ads,0.03,12,0
Apr-15,Apr2015_1,25-34,TV ads,0.03,10,0
Apr-15,Apr2015_1,25-34,Google banner ads,0.04,17,26
Apr-15,Apr2015_1,25-34,Newspaper ads,0.03,7,0
Apr-15,Apr2015_1,25-34,Facebook ads,0.04,23,26
Apr-15,Apr2015_1,55-64,Influencer,0.03,12,0
Apr-15,Apr2015_1,55-64,Sponsored search ads,0.02,5,0
Apr-15,Apr2015_1,55-64,TikTok ads,0.03,17,26
Apr-15,Apr2015_1,55-64,Instagram Ads,0.03,14,0
Apr-15,Apr2015_1,55-64,Email,0.02,8,0
Apr-15,Apr2015_1,55-64,LinkedIn,0.02,6,0
Apr-15,Apr2015_1,55-64,Radio ads,0.02,11,0
Apr-15,Apr2015_1,55-64,TV ads,0.02,7,0
Apr-15,Apr2015_1,55-64,Google banner ads,0.03,7,0
Apr-15,Apr2015_1,55-64,Newspaper ads,0.02,11,0
Apr-15,Apr2015_1,55-64,Facebook ads,0.03,8,0
Apr-15,Apr2015_1,45-54,Influencer,0.03,15,0
Apr-15,Apr2015_1,45-54,Sponsored search ads,0.03,11,0
Apr-15,Apr2015_1,45-54,TikTok ads,0.04,11,0
Apr-15,Apr2015_1,45-54,Instagram Ads,0.03,16,26
Apr-15,Apr2015_1,45-54,Email,0.02,4,0
Apr-15,Apr2015_1,45-54,LinkedIn,0.03,10,0
Apr-15,Apr2015_1,45-54,Radio ads,0.02,8,0
Apr-15,Apr2015_1,45-54,TV ads,0.02,12,0
Apr-15,Apr2015_1,45-54,Google banner ads,0.03,16,26
Apr-15,Apr2015_1,45-54,Newspaper ads,0.02,4,0
Apr-15,Apr2015_1,45-54,Facebook ads,0.04,7,0
Apr-15,Apr2015_2,55-64,Facebook ads,0.01,6,0
Apr-15,Apr2015_2,55-64,Influencer,0.01,7,0
Apr-15,Apr2015_2,55-64,Google banner ads,0.01,7,0
Apr-15,Apr2015_2,18-24,Facebook ads,0.02,8,0
Apr-15,Apr2015_2,18-24,Influencer,0.02,12,0
Apr-15,Apr2015_2,18-24,Google banner ads,0.02,5,0
Apr-15,Apr2015_3,25-34,Email,0.63,231,376
Apr-15,Apr2015_3,25-34,Google banner ads,1.08,343,806
Apr-15,Apr2015_3,25-34,TV ads,0.9,359,537
Apr-15,Apr2015_3,25-34,Radio ads,0.81,454,994
Apr-15,Apr2015_3,25-34,TikTok ads,1.35,456,215
Apr-15,Apr2015_3,25-34,Sponsored search ads,0.99,269,268
Apr-15,Apr2015_3,25-34,Newspaper ads,0.72,238,80
Apr-15,Apr2015_3,25-34,Facebook ads,1.26,483,241
Apr-15,Apr2015_3,25-34,Instagram Ads,1.17,347,752
Apr-15,Apr2015_3,25-34,LinkedIn,0.99,405,456
Apr-15,Apr2015_3,45-54,Email,0.49,139,322
Apr-15,Apr2015_3,45-54,Google banner ads,0.85,490,725
Apr-15,Apr2015_3,45-54,TV ads,0.71,413,564
Apr-15,Apr2015_3,45-54,Radio ads,0.64,159,26
Apr-15,Apr2015_3,45-54,TikTok ads,1.06,274,483
Apr-15,Apr2015_3,45-54,Sponsored search ads,0.78,262,456
Apr-15,Apr2015_3,45-54,Newspaper ads,0.56,234,241
Apr-15,Apr2015_3,45-54,Facebook ads,0.99,292,134
Apr-15,Apr2015_3,45-54,Instagram Ads,0.92,485,1075
Apr-15,Apr2015_3,45-54,LinkedIn,0.78,333,215
Apr-15,Apr2015_4,25-34,TV ads,0.08,32,0
Apr-15,Apr2015_4,25-34,Radio ads,0.07,23,0
Apr-15,Apr2015_4,25-34,Instagram Ads,0.1,37,26
Apr-15,Apr2015_4,25-34,Influencer,0.1,38,53
Apr-15,Apr2015_4,25-34,TikTok ads,0.12,61,80
Apr-15,Apr2015_4,25-34,LinkedIn,0.09,43,80
Apr-15,Apr2015_4,25-34,Email,0.06,32,53
Apr-15,Apr2015_4,25-34,Newspaper ads,0.07,17,0
Apr-15,Apr2015_4,25-34,Sponsored search ads,0.09,36,26
Apr-15,Apr2015_4,25-34,Google banner ads,0.1,25,0
Apr-15,Apr2015_4,35-44,TV ads,0.08,45,26
Apr-15,Apr2015_4,35-44,Radio ads,0.07,25,0
Apr-15,Apr2015_4,35-44,Instagram Ads,0.1,49,53
Apr-15,Apr2015_4,35-44,Influencer,0.1,24,53
Apr-15,Apr2015_4,35-44,TikTok ads,0.11,59,107
Apr-15,Apr2015_4,35-44,LinkedIn,0.08,49,53
Apr-15,Apr2015_4,35-44,Email,0.05,26,0
Apr-15,Apr2015_4,35-44,Newspaper ads,0.06,29,0
Apr-15,Apr2015_4,35-44,Sponsored search ads,0.08,21,26
Apr-15,Apr2015_4,35-44,Google banner ads,0.09,19,0
Apr-15,Apr2015_4,18-24,TV ads,0.09,36,53
Apr-15,Apr2015_4,18-24,Radio ads,0.08,19,0
Apr-15,Apr2015_4,18-24,Instagram Ads,0.11,51,80
Apr-15,Apr2015_4,18-24,Influencer,0.11,24,26
Apr-15,Apr2015_4,18-24,TikTok ads,0.13,69,26
Apr-15,Apr2015_4,18-24,LinkedIn,0.09,35,26
Apr-15,Apr2015_4,18-24,Email,0.06,35,0
Apr-15,Apr2015_4,18-24,Newspaper ads,0.07,23,53
Apr-15,Apr2015_4,18-24,Sponsored search ads,0.09,32,26
Apr-15,Apr2015_4,18-24,Google banner ads,0.1,22,53
Apr-15,Apr2015_4,55-64,TV ads,0.06,31,53
Apr-15,Apr2015_4,55-64,Radio ads,0.05,12,0
Apr-15,Apr2015_4,55-64,Instagram Ads,0.08,32,26
Apr-15,Apr2015_4,55-64,Influencer,0.08,34,53
Apr-15,Apr2015_4,55-64,TikTok ads,0.09,47,26
Apr-15,Apr2015_4,55-64,LinkedIn,0.06,28,53
Apr-15,Apr2015_4,55-64,Email,0.04,16,26
Apr-15,Apr2015_4,55-64,Newspaper ads,0.05,12,0
Apr-15,Apr2015_4,55-64,Sponsored search ads,0.06,37,26
Apr-15,Apr2015_4,55-64,Google banner ads,0.07,24,0
Apr-15,Apr2015_4,45-54,TV ads,0.06,29,26
Apr-15,Apr2015_4,45-54,Radio ads,0.06,12,0
