Time,Number of New Accounts,Total Base Mn
Apr-15,30142.71,539.89
Apr-16,33329.94,539.89
Apr-17,36517.17,539.89
Apr-18,39704.39,539.89
Apr-19,325097.33,4092.1
Apr-20,86078.41,7644.32
Apr-21,73930.45,10894
Apr-22,108928.37,20647
Apr-23,26940.27,13993
Aug-15,24364.97,10925.74
Aug-16,24737.14,7858.48
Aug-17,22911.81,4791.22
Aug-18,14668.57,1723.96
Aug-19,134521.32,5276.18
Aug-20,78879.31,8828.39
Aug-21,44028.98,8601
Aug-22,135993.93,21534
Aug-23,46286.04,14962
Dec-15,25768.54,11948.51
Dec-16,26512.84,8935.02
Dec-17,25609.26,5921.52
Dec-18,20542.12,2908.03
Dec-19,100004.97,6460.25
Dec-20,74708.77,10012.46
Dec-21,118018.06,17265
Dec-22,56254.85,18813
Dec-23,50484.57,15897
Feb-15,24993.12,13417.61
Feb-16,26738,10938.23
Feb-17,27828.95,8458.84
Feb-18,27691.09,5979.46
Feb-19,24795.62,3500.07
Feb-20,91773.82,7052.28
Feb-21,71429.18,9905
Feb-22,50149.07,11612
Feb-23,92411.78,18006
Jan-15,24521.1,15045.61
Jan-16,26131.88,12085.22
Jan-17,26970.32,9124.83
Jan-18,26284.71,6164.44
Jan-19,21879.34,3204.05
Jan-20,95484.56,6756.26
Jan-21,71881.65,9881
Jan-22,50690.8,11764
Jan-23,113550.89,20216
Jul-15,23750.97,15518.98
Jul-16,23797.86,10821.97
Jul-17,21118.72,6124.95
Jul-18,9442.25,1427.94
Jul-19,152370.11,4980.16
Jul-20,80310.77,8532.37
Jul-21,81575.98,13457
Jul-22,46332.14,16138
Jul-23,66231.64,16084
Jun-15,23545.11,12345.98
Jun-16,23608.93,8607.96
Jun-17,20960.1,4869.95
Jun-18,9352.02,1131.93
Jun-19,179691.87,4684.14
Jun-20,81956.72,8236.35
Jun-21,34369.13,7916
Jun-22,156948.28,22204
Jun-23,38568.12,13931
Mar-15,22538.59,10509.22
Mar-16,22298.65,7087.44
Mar-17,18749.44,3665.65
Mar-18,2623.8,243.87
Mar-19,663518.3,3796.09
Mar-20,88683.23,7348.3
Mar-21,143450.18,16954
Mar-22,76047.84,22403
Mar-23,48759.95,17068
May-15,23178.55,13009.98
May-16,23116.56,8951.96
May-17,20108.7,4893.93
May-18,6827.09,835.91
May-19,226554.42,4388.12
May-20,83860.69,7940.34
May-21,41875.19,8556
May-22,152137.64,23940
May-23,38325.97,18059
Nov-15,25158.62,14197.26
Nov-16,25617.47,10335.51
Nov-17,24037.47,6473.76
Nov-18,16770,2612.02
Nov-19,105609.63,6164.23
Nov-20,75562.95,9716.44
Nov-21,117307.51,18182
Nov-22,56772.37,19348
Nov-23,73572.11,19332
Oct-15,24752.75,15078
Oct-16,25070.47,10824
Oct-17,23132.65,6570
Oct-18,14558.02,2316
Oct-19,112715.34,5868.21
Oct-20,76530.1,9420.42
Oct-21,138365.78,19629
Oct-22,72439.25,25836
Oct-23,44793.11,16524
Sep-15,24564.84,12898
Sep-16,24914.57,9271.99
Sep-17,23045.01,5645.98
Sep-18,14680.29,2019.98
Sep-19,121981.52,5572.19
Sep-20,77628.3,9124.41
Sep-21,47175.07,9871
Sep-22,126907.36,22437
Sep-23,39768.9,15331
